"start","end","text","speaker"
"519559","540020"," допустим все что будет что будет в этих данных все идем добавляем ниже туда все давай так","Speaker 1"
"540020","549480"," сделать просто вопрос что что мы сможем собрать от тезе на как бы ну на разработку же бэкэнда","Speaker 1"
"549480","555860"," есть структура данных которые надо посмотреть как мы можем получать как мы","Speaker 1"
"555860","560600"," можем обрабатывать детально второй вопрос то что мы сможем получить вот сюда надо будет","Speaker 1"
"560600","570020"," вывести давай сейчас смотрим туда следующую страницу каталог дизайнеров заголовок от заголовок","Speaker 1"
"570020","579700"," типа объекта мы берем из того из того же делаем один в один такие же типа объекта","Speaker 1"
"581420","590980"," география москва окей да москва московская область спб россия оставляем сегмент ну оставим","Speaker 1"
"590980","602950"," только давай как тут тоже медиум и премиум на там тоже давай переименуем медиум плюс","Speaker 1"
"602950","614650"," медиум и премиум и вообще медиум это средний по премиум это премиум по-русски пишем дальше","Speaker 1"
"614650","622410"," услуги за проект это я вообще не знаю что это авторский надзор supervision это авторский","Speaker 1"
"622410","638130"," надзор дизайн проект авторский надзор у меня там было написано что какие услуги входят и","Speaker 1"
"638130","648050"," там было написано по-русски и там было короче что это означает лучше это по-русски можно","Speaker 1"
"648050","695120"," тут поставить вот это каталог дизайнеров и вот тут есть на такого вот вот услуги вот у меня","Speaker 1"
"695120","704950"," было и где-то она этот фильтр где-то какие фильтры должны быть в поиске вот дизайн проект","Speaker 1"
"704950","711870"," комплектация авторский надзор рабочая документация но вот это можно брать документация","Speaker 1"
"714330","726150"," вот пошла такие истории можно убрать дальше смотрим на саму выдачу студия такая-то но","Speaker 1"
"726150","739590"," во-первых она кривая выдача то есть видишь обрезанная половина карточки но возможно это специально","Speaker 1"
"751040","757580"," мне нравится все в целом карточка но мне не нравится что они вот так вот как-то тут и сделано","Speaker 1"
"768500","779360"," чтобы было больше превью чтобы было больше и да ну давай да одну сделаем 2 ряд просто убираем","Speaker 1"
"784170","797250"," 3 5 подрядчиков подважно как в этом ауисе сервисе там это кстати очень похоже на","Speaker 1"
"797250","807960"," хаос так вот разместить проект получите 3 5 подрядчиков под ваш запрос то ты дизайнер","Speaker 1"
"807960","817240"," то ищешь объект характеристики москва апартаменты проект level срочность","Speaker 1"
"817240","828220"," описание проекта upload можно проект загрузить имя и mail вот всякий галочка","Speaker 1"
"828220","835880"," важная не показываемой телефон контрактов без утверждения русский да вот круто","Speaker 1"
"837620","848950"," круто тут я бы вообще ничего не менял так все хорошо разместить проект тарифы и возможности","Speaker 1"
"850580","855340"," получайте дизайнеров входящий запрос и приоритет каталоге инструменты для","Speaker 1"
"855340","860220"," стабильной бизнеса подрядчик отправляйте видимостью получайте проверенное","Speaker 1"
"863720","864500"," прайс","Speaker 1"
"868760","871300"," очень красиво сделан","Speaker 1"
"877520","878300"," профессионально","Speaker 1"
"884400","910740"," окей тут все окей но вот это вот непонятно то есть тут надо взять текст вот за вот это вот","Speaker 1"
"910740","918140"," таблицы которые там не имею из прайса на короче вот страницы тарифы и возможности раздел","Speaker 1"
"918140","923560"," детальное сравнение возможностей название функции нужно брать из","Speaker 1"
"942920","953980"," из раздела страницы 7 точка для подрядчиков slash тариф таблица раздел профи вот прямо","Speaker 1"
"953980","965380"," отсюда берем эту табличку это важно что-то сейчас непонятно да то но все круто","Speaker 1"
"965380","976140"," только тот другой нам везде знак меню на русском так дальше главная страница найдите","Speaker 1"
"976140","985330"," дизайнеров комплектаторов и проекты для вашей компании он главный тоже делал","Speaker 1"
"989040","993860"," а она выше была сана справа сильно","Speaker 1"
"997100","997900"," прикольно","Speaker 1"
"1008470","1013520"," вряд ли придерживался правил и тексты","Speaker 1"
"1017070","1031480"," хотя нормально нет то что было на русском он как бы скопировал и ставил неплохо","Speaker 1"
"1038660","1050210"," хорошо и есть размещение проездка есть оплата вы еще у нас там оставалось","Speaker 1"
"1050930","1065930"," личный кабинет дизайнера про это там можно было добавлять и вроде все карточка карточка","Speaker 1"
"1065930","1075270"," студии дизайна не было еще была карточка подрядчик на карточке студии да не было","Speaker 1"
"1082310","1088070"," ну да и личный кабинет тут знаешь только личный кабинет подрядчика нужен пока что потому","Speaker 1"
"1090530","1100510"," потому что потому что он будет изменять карточку до хотя личный кабинет дизайнера получается","Speaker 1"
"1100510","1117820"," чтобы они могли изменять свою карточку в первую очередь подрядчиков первую очередь там есть","Speaker 1"
"1174440","1188380"," получается неплохо вот эти правки внесем и там не так долго сразу же можно внести проблему","Speaker 1"
